	Lattice depth (Er)	Lattice depth (uK)	Excitation freq. 1->2 (Hz)	Excitation freq. 1->3 (Hz)	Excitation freq. 1->4 (Hz)	Excitation freq. 1->5 (Hz)	Excitation freq. 1->6 (Hz)	Excitation freq. 1->7 (Hz)	Excitation freq. 1->8 (Hz)	Excitation freq. 1->9 (Hz)	Excitation freq. 1->10 (Hz)
63	63.0	6.131141718444721	22523.430767053444	22523.430767057893	43302.552118922096	44147.762802170386	44147.762802170524	63024.66777082074	63024.66777082127	64739.6076270892	64842.40631987511
64	64.0	6.228461428261304	22715.203229455004	22715.203229458697	43688.55274165801	44532.85107883456	44532.851078837535	63607.912122797934	63607.91212280049	65320.93933765353	65423.08268965514
65	65.0	6.325781138077887	22905.466585133963	22905.466585136597	44071.45525068336	44914.87174560866	44914.871745611475	64186.457689360745	64186.457689366	65897.60658787754	65999.03979721156
66	66.0	6.423100847894469	23094.255953339434	23094.255953340125	44451.334563928234	45293.897795322315	45293.89779532782	64760.410603227814	64760.41060322812	66469.71615031305	66570.39541817554
67	67.0	6.520420557711052	23281.605113025744	23281.60511302646	44828.26250840993	45669.99931409951	45669.9993141034	65329.87368677097	65329.873686774015	67037.37122635778	67137.26213050913
68	68.0	6.617740267527635	23467.546573153697	23467.54657315381	45202.30800724917	46043.24364595035	46043.24364595488	65894.94653094861	65894.94653095222	67600.671566341	67699.74766525578
69	69.0	6.715059977344218	23652.11163819406	23652.111638194794	45573.53725115226	46413.69554496903	46413.6955449736	66455.7255796468	66455.72557965109	68159.71358944343	68257.95522417469
70	70.0	6.8123796871608	23835.33046949601	23835.330469499957	45942.01385625182	46781.41731649555	46781.41731649852	67012.30421810356	67012.30421810503	68714.59050279846	68811.98376859758
71	71.0	6.909699396977384	24017.232142707086	24017.232142717145	46307.79900953981	47146.46894819227	47146.46894819315	67564.77286399882	67564.77286401187	69265.39241902428	69361.92828264514
72	72.0	7.007019106793967	24197.844701580016	24197.844701587463	46670.95160321244	47508.90823187526	47508.90823187742	68113.21906010422	68113.219060105	69812.2064715809	69907.88001365276
73	73.0	7.104338816610549	24377.19520839791	24377.195208398945	47031.528358994714	47868.79087702425	47868.790877024396	68657.72756748005	68657.72756748005	70355.11692752385	70449.9266924793
74	74.0	7.201658526427132	24555.309791255087	24555.30979125631	47389.583943329686	48226.17061651795	48226.1706165216	69198.38045865275	69198.3804586564	70894.20529735838	70988.1527356623
75	75.0	7.298978236243715	24732.213688616142	24732.213688617514	47745.171074451835	48581.099305500946	48581.09930550596	69735.2572100481	69735.25721005032	71429.55044176058	71522.63943159307
76	76.0	7.396297946060298	24907.931291016102	24907.93129101643	48098.340621919815	48933.62701367316	48933.62701367558	70268.43479309516	70268.43479310001	71961.22867487441	72053.465112103
77	77.0	7.49361765587688	25082.486180387274	25082.48618039004	48449.14169926335	49283.80211165352	49283.80211165501	70797.98776373318	70797.98776373657	72489.31386418815	72580.70531103195
78	78.0	7.5909373656934624	25255.901167068925	25255.901167069616	48797.62175067542	49631.671352094396	49631.67135210042	71323.98835002464	71323.98835002637	73013.87752693749	73104.43291120006
