	Lattice depth (Er)	Lattice depth (uK)	Excitation freq. min (Hz)	Excitation freq. max (Hz)	Excitation freq. (Hz)
155	387.5	65.0707542477998	43075.47472914648	43075.474729149006	43075.47472914813
156	390.0	65.49056556552755	43215.050587612604	43215.05058761459	43215.05058761313
157	392.5	65.91037688325527	43354.17976848446	43354.17976848669	43354.17976848519
158	395.0	66.33018820098302	43492.86653295492	43492.866532957	43492.866532955515
159	397.5	66.74999951871077	43631.11507489219	43631.11507489432	43631.115074892805
160	400.0	67.16981083643851	43768.9295223212	43768.92952232318	43768.929522322454
161	402.5	67.58962215416625	43906.31393886104	43906.31393886333	43906.31393886178
162	405.0	68.00943347189398	44043.27232512438	44043.2723251263	44043.27232512531
163	407.5	68.42924478962172	44179.808620073665	44179.80862007706	44179.80862007576
164	410.0	68.84905610734947	44315.926702349396	44315.92670235195	44315.92670235117
165	412.5	69.2688674250772	44451.63039154697	44451.63039154898	44451.630391547194
166	415.0	69.68867874280495	44586.92344947422	44586.92344947644	44586.92344947504
167	417.5	70.10849006053269	44721.80958136437	44721.80958136652	44721.8095813655
168	420.0	70.52830137826042	44856.29243706242	44856.29243706517	44856.29243706381
169	422.5	70.94811269598816	44990.37561217684	44990.37561217912	44990.375612177115
170	425.0	71.3679240137159	45124.06264920019	45124.06264920204	45124.06264920162
171	427.5	71.78773533144366	45257.35703860041	45257.35703860261	45257.35703860143
172	430.0	72.2075466491714	45390.2622198881	45390.26221989009	45390.26221988945
173	432.5	72.62735796689913	45522.781582647425	45522.781582650285	45522.78158264993
174	435.0	73.04716928462688	45654.91846754986	45654.9184675519	45654.91846755122
175	437.5	73.46698060235461	45786.67616732925	45786.676167331505	45786.67616733088
176	440.0	73.88679192008236	45918.05792774834	45918.05792775096	45918.05792774958
177	442.5	74.3066032378101	46049.06694852449	46049.06694852621	46049.06694852509
178	445.0	74.72641455553783	46179.70638424089	46179.706384243385	46179.70638424273
179	447.5	75.14622587326556	46309.97934523681	46309.97934523929	46309.97934523819
180	450.0	75.56603719099331	46439.888898465964	46439.88889846778	46439.88889846633
181	452.5	75.98584850872105	46569.43806834035	46569.43806834278	46569.4380683414
182	455.0	76.4056598264488	46698.62983755541	46698.629837558525	46698.62983755683
183	457.5	76.82547114417653	46827.467147886025	46827.46714788894	46827.467147887495
184	460.0	77.24528246190428	46955.952900974626	46955.95290097664	46955.9529009756
185	462.5	77.66509377963202	47084.08995908423	47084.08995908671	47084.0899590856
186	465.0	78.08490509735977	47211.88114585307	47211.88114585535	47211.88114585453
187	467.5	78.5047164150875	47339.329247012334	47339.32924701436	47339.32924701307
188	470.0	78.92452773281525	47466.43701109853	47466.43701110059	47466.4370110991
189	472.5	79.34433905054297	47593.207150144786	47593.20715014746	47593.20715014623
190	475.0	79.76415036827072	47719.642340356506	47719.64234035923	47719.64234035784
191	477.5	80.18396168599845	47845.745222767786	47845.745222770805	47845.745222770005
