	Nsite	Calc. time (s)	Std. of calc. time (s)
123	2481	1.1590680599212646	0.04858641774968223
124	2501	1.1509414196014405	0.01249314024844568
125	2521	1.1714313745498657	0.014232709683283875
126	2541	1.2179659128189086	0.030991649497161124
127	2561	1.2286984205245972	0.013736967756089099
128	2581	1.262377715110779	0.04699304423071077
129	2601	1.2551262617111205	0.015276353702687878
130	2621	1.273004126548767	0.01836008348033587
131	2641	1.2919605016708373	0.04801496291207209
132	2661	1.305153250694275	0.028816308299557503
133	2681	1.3834397554397584	0.08015866247196649
134	2701	1.3720362424850463	0.02377270407203673
135	2721	1.3921032428741456	0.06160970269522773
136	2741	1.4127930402755737	0.025602432864127153
137	2761	1.438978099822998	0.07796398727741728
138	2781	1.428881001472473	0.02417871696485779
139	2801	1.4604642629623412	0.05422128942664218
